endpoint,condition,model,point_delta,boot_mean_delta,boot_sd_delta,ci95_low,ci95_high,pct_resamples_positive,ci95_excludes_zero
transmittance450plus,only_dyesSimMurcko,xgboost,-0.16251790068260918,-0.16301737445104283,0.024666463271732345,-0.21335826981261463,-0.11461169337754387,0.0,True
transmittance450plus,only_pred_all,xgboost,-0.0337493335382405,-0.034220060900003645,0.018485729111746358,-0.07120927535375113,0.00019715620595919564,2.6,False
transmittance450plus,drop_pred_fluo340,catboost,-1.214219928935556e-05,0.00034285069508272837,0.011141016323057881,-0.02092357453640426,0.022723356198094083,52.0,False
transmittance450plus,drop_pred_trans340,catboost,-0.03454274470971619,-0.03368543962862209,0.015040245409047278,-0.06302895365816345,-0.0024854537515529396,1.4000000000000001,True
transmittance450plus,drop_RDkitFP-RDKit,catboost,-0.0049641660139478905,-0.004579810009630322,0.014097458176230811,-0.03116166518814799,0.024408706640673256,36.7,False
transmittance450plus,drop_RDKit2D,catboost,0.00848359153931566,0.00942690976371048,0.013950621227028098,-0.019106293694129153,0.036497447537423205,75.5,False
transmittance450plus,drop_xtb3,catboost,-0.02068559569086026,-0.019972167459044454,0.01353250617118128,-0.04642605928113579,0.0055718787402427965,7.1,False
transmittance450plus,drop_QM9,catboost,-0.0030127152386050238,-0.0022426027913802172,0.010747230221676366,-0.022948974344973755,0.02023691028332994,41.0,False
transmittance450plus,drop_dyesChromophores,catboost,-0.005835504733101682,-0.004835650702563516,0.010734287727329867,-0.025045558479409116,0.0162832076147209,32.800000000000004,False
transmittance450plus,drop_dyesSimMurcko,catboost,0.01057241227079797,0.011080858616584926,0.010785991425361371,-0.009723781769735975,0.03170285072232368,85.0,False
transmittance450plus,drop_pred_all,catboost,-0.023432451133084564,-0.0225970901334871,0.014553980466053539,-0.05177068782858878,0.00663988336632665,6.0,False
transmittance450plus,only_pred_fluo340,catboost,-0.15662367844846614,-0.15705110851832182,0.026963834556021315,-0.21335749788856267,-0.10251899038780017,0.0,True
transmittance450plus,only_pred_trans340,catboost,-0.038548039433513814,-0.03774523260519861,0.020916690412596254,-0.07931571375300037,0.0013399312467377194,3.1,False
transmittance450plus,only_RDkitFP-RDKit,catboost,-0.061656456949741756,-0.06087575833557565,0.018635001770958406,-0.09772643310974649,-0.025545265809026906,0.0,True
transmittance450plus,only_RDKit2D,catboost,-0.0729303983764974,-0.07217267490517275,0.02014021008100734,-0.1109118169224457,-0.03469532773691041,0.1,True
transmittance450plus,only_xtb3,catboost,-0.05116686535170878,-0.0504916651602325,0.022458258590873352,-0.09418830885588765,-0.006599567736457421,1.9,True
transmittance450plus,only_QM9,catboost,-0.14516470440268903,-0.14466786181862176,0.024307590148510232,-0.1893490021554102,-0.09548468235624459,0.0,True
transmittance450plus,only_dyesChromophores,catboost,-0.14172302519814428,-0.14124870526475564,0.023412653983041824,-0.1864940043860642,-0.09526756664858402,0.0,True
transmittance450plus,only_dyesSimMurcko,catboost,-0.16259057265149024,-0.16221783004400264,0.023951200402316623,-0.20973221287580446,-0.11774400003737155,0.0,True
transmittance450plus,only_pred_all,catboost,-0.039217128982414806,-0.03858164469922395,0.019914765570402778,-0.07618450990169308,0.000763785615416786,3.2,False
