endpoint,condition,model,point_auroc,boot_mean,boot_sd,ci95_low,ci95_high,n_boot_valid
fluorescence340_450,only_RDKit2D,catboost,0.8360437619151401,0.835949465837645,0.004756958591343239,0.8265632073599594,0.8450345219418037,1000
fluorescence340_450,only_xtb3,catboost,0.7281579169974879,0.7280128468339281,0.005762454041266223,0.716772466997058,0.7390541880550502,1000
fluorescence340_450,only_QM9,catboost,0.6396642824858527,0.639828934591944,0.006240526956478855,0.6285978673404894,0.651917294080715,1000
fluorescence340_450,only_dyesChromophores,catboost,0.6784746322753177,0.6785212625881173,0.006377168937427773,0.666491051719861,0.6913084186096351,1000
fluorescence340_450,only_dyesSimMurcko,catboost,0.707460129661518,0.7076833352095468,0.006179233390344613,0.6952972991327011,0.7201106504138856,1000
fluorescence340_450,only_pred_all,catboost,0.8832664206966762,0.8830162591828131,0.004546185787777271,0.8736494535975312,0.891727013942862,1000
fluorescence480plus,full,xgboost,0.6324948364622831,0.6336442675081894,0.0569624452790971,0.5263426202673789,0.7453534599990366,1000
fluorescence480plus,drop_pred_fluo340,xgboost,0.6442817948413064,0.6443309117453987,0.05497393238401859,0.5380412576904499,0.7501176356365886,1000
fluorescence480plus,drop_pred_trans340,xgboost,0.6272057884468872,0.6290820906136706,0.05365008776802867,0.5202909451246851,0.7326603468046655,1000
fluorescence480plus,drop_RDkitFP-RDKit,xgboost,0.6376275470883813,0.6402129064170738,0.053013245899939276,0.5342179391166108,0.7424246959196406,1000
fluorescence480plus,drop_RDKit2D,xgboost,0.6267466849867663,0.6272022160361421,0.05461014024926329,0.5239631401687472,0.7368135402473314,1000
fluorescence480plus,drop_xtb3,xgboost,0.6608348416588498,0.6619323882773116,0.050924801339497894,0.5583796974067489,0.7624135515751905,1000
fluorescence480plus,drop_QM9,xgboost,0.6364638244088906,0.6381452242552217,0.05212782019273681,0.5374991167397503,0.7354377354826759,1000
fluorescence480plus,drop_dyesChromophores,xgboost,0.6314037776397898,0.6315344273164762,0.0528632536385618,0.5269643315368284,0.7378783230131161,1000
fluorescence480plus,drop_dyesSimMurcko,xgboost,0.6645395973981936,0.6646893073450674,0.04948857149160264,0.5658096351678253,0.7647244973088111,1000
fluorescence480plus,drop_pred_all,xgboost,0.6373093674721344,0.6371580687623349,0.051158358154009424,0.5421767523183054,0.7422953644819151,1000
fluorescence480plus,only_pred_fluo340,xgboost,0.5231225200706381,0.5214619982818647,0.04387265682866519,0.4293675791376523,0.6022064523612795,1000
fluorescence480plus,only_pred_trans340,xgboost,0.5855484800042278,0.5859024284803084,0.05122329612151007,0.4844008634950937,0.686076431771401,1000
fluorescence480plus,only_RDkitFP-RDKit,xgboost,0.6168478859221483,0.6169221991634424,0.05282582600558778,0.5202371503265034,0.7251507382756612,1000
fluorescence480plus,only_RDKit2D,xgboost,0.6366873208175344,0.6385147900944547,0.052934169950042624,0.5359707984382381,0.7372386307600479,1000
fluorescence480plus,only_xtb3,xgboost,0.49289765846225664,0.49014619299386425,0.04858585853597645,0.3888726399124424,0.5864166466874496,1000
fluorescence480plus,only_QM9,xgboost,0.5186558948003506,0.5169754359370768,0.04506916648736254,0.4235668147728473,0.6025476081235602,1000
fluorescence480plus,only_dyesChromophores,xgboost,0.48593183689826613,0.48580948351426684,0.06111376262217358,0.3610399517008723,0.6023081497143559,1000
